# Asteroid 101 Helena - Example lightcurve data
# Ground Truth (from DAMIT):
#   rotation_period_hours: 5.223
#   pole_lambda_deg: 354.0
#   pole_beta_deg: 82.0
#   quality_flag: 3
#   source: DAMIT
#
time_jd,relative_brightness,sun_x,sun_y,sun_z,earth_x,earth_y,earth_z
2433827.771536,0.9882148,-1.52407483,2.56166596,-1.65498099,-1.37631303,1.55577772,-1.65510792
2433827.773953,0.9665995,-1.52409281,2.56165996,-1.65497547,-1.37629054,1.55577761,-1.6551024
2433827.783286,0.962118,-1.52416223,2.56163678,-1.65495417,-1.37620371,1.55577719,-1.6550811
2433827.790454,0.9550239,-1.52421554,2.56161898,-1.65493781,-1.37613703,1.55577688,-1.65506473
2433827.795662,0.9479908,-1.52425428,2.56160604,-1.65492593,-1.37608857,1.55577666,-1.65505285
2433827.803037,0.9470855,-1.52430913,2.56158772,-1.65490909,-1.37601996,1.55577637,-1.65503601
2433827.809745,0.9357856,-1.52435902,2.56157106,-1.65489378,-1.37595756,1.55577612,-1.6550207
2433827.816038,0.9280344,-1.52440582,2.56155543,-1.65487942,-1.37589902,1.55577589,-1.65500633
2433827.822538,0.9314326,-1.52445417,2.56153928,-1.65486458,-1.37583855,1.55577567,-1.65499149
2433827.829705,0.9357013,-1.52450747,2.56152148,-1.65484822,-1.37577188,1.55577544,-1.65497513
2433827.835788,0.9495669,-1.52455272,2.56150636,-1.65483434,-1.3757153,1.55577525,-1.65496124
2433827.838831,0.9495537,-1.52457534,2.56149881,-1.65482739,-1.375687,1.55577516,-1.65495429
2433827.841414,0.9556834,-1.52459455,2.56149239,-1.6548215,-1.37566297,1.55577508,-1.65494839
2433827.847747,0.9770164,-1.52464165,2.56147665,-1.65480704,-1.37560406,1.55577491,-1.65493393
2433827.857289,1.007125,-1.52471262,2.56145294,-1.65478525,-1.37551531,1.55577466,-1.65491214
2433827.865956,1.018278,-1.52477708,2.5614314,-1.65476546,-1.37543469,1.55577446,-1.65489235
2433827.86879,1.030531,-1.52479815,2.56142436,-1.654759,-1.37540834,1.5557744,-1.65488588
2433827.87704,1.043866,-1.52485951,2.56140386,-1.65474016,-1.37533161,1.55577423,-1.65486704
2433827.878998,1.045781,-1.52487407,2.56139899,-1.65473569,-1.37531339,1.5557742,-1.65486257
2433827.887457,1.053475,-1.52493698,2.56137796,-1.65471637,-1.37523472,1.55577405,-1.65484325
